Industrial Magnate,"You oversee the massive, grinding factories of Bren, leveraging wealth and authority to keep the artifact-fueled engines turning.",,ParleyAristocrats,NavigateBureaucracy,Command,Bargain,AppraiseArtifacts,OperateMachinery,
High Society Broker,"You navigate the treacherous ballrooms and salons of the elite, trading in whispers, favors, and lucrative alliances.",,ParleyAristocrats,Deceive,Persuade,ReadIntentions,Persuade,,
Artifact Speculator,"You fund the expeditions and take the financial risks, gambling your fortune on the unearthing of the next great pre-fall machine.",,AppraiseArtifacts,Bargain,AnalyzeArtifacts,RecallArtifactLore,EndureCognitiveStrain,,
Underworld Patron,"You are the velvet glove over a rusted iron fist, quietly funding the city's criminal element to execute your unsavory errands.",,MingleStreets,Deceive,Command,ParleyUnderground,PlanTactics,,
Guild Sponsor,"You hold the purse strings for the gruff explorers braving the jungle, managing their contracts and reaping the glory of their discoveries.",,ParleyExplorers,NavigateBureaucracy,Bargain,RecallArtifactLore,AnalyzeArchitecture,,
Scandal Deflector,"You are a master of public relations, making the lethal malfunctions of aristocratic vanity projects quietly disappear from the public eye.",,Deceive,Persuade,NavigateBureaucracy,ReadIntentions,Intimidate,,
Arcane Investor,"You pour your immense wealth into the laboratories of the Wizards, securing exclusive rights to the latest magical circuitry and experimental tech.",,ParleyAristocrats,IdentifyArcanePurpose,Tinker,Bargain,ParleyWizards,,
Wasteland Survivor,"You have survived the brutal elements beyond the city walls longer than most, hardened by starvation, thirst, and the unforgiving jungle.",,EndureDehydration,EndureHunger,FindPaths,Scavenge,ChannelDivinity,,
Monster Hunter,"You specialize in tracking and slaughtering the nightmarish aberrations that stalk the ruins, knowing precisely where to strike for the kill.",,IdentifyBeasts,ExploitWeakness,PlanTactics,ShootGuns,Track,,
Ruin Delver,"You treat collapsed temples and buried facilities as puzzles, expertly navigating ancient architecture and disarming lethal traps.",,AnalyzeArchitecture,Climb,DefuseTraps,Perceive,AnalyzeArtifacts,,
Myth Seeker,"You chase the campfire stories and forbidden legends of the wastes, guided by an intuition for where the greatest artifacts lie hidden.",,RecallArtifactLore,FindPaths,SenseDanger,AnalyzeArtifacts,ParleyAristocrats,,
Wasteland Ward,"You act as a living oasis for your expedition, projecting the city's divine influence to ward your allies against the blistering heat and the brutal hazards of the sands.",,PerformRituals,ChannelDivinity,SenseReligiousDanger,EndurePsychicAttacks,EndureToxins,,
