Skill Name,Discipline Domain,Core Focus & Application
Lift Heavy Objects,Physical / Athletics,"Raw muscular mass, foot bracing, and brute structural leverage."
Smash,Physical / Kinetic,"Impact force, striking welds, kinetic shock damage."
Climb,Physical / Agility,"Traversing sheer pipe-work, suspension catwalks, and vertical shafts."
Sense Danger,Physical / Awareness,"Reflexive awareness of industrial hazards, tripwires, and environmental traps."
Fix Machinery,Craft / Engineering,"Diagnosing frozen joints, high-pressure steam pipes, and seized gears."
Tinker,Craft / Precision,"Delicate calibration, fine handcraft, tool leverage, and component isolation."
Operate Machinery,Craft / Engineering,"Understanding industrial flow-valves, gauges, diesel pumps, and consoles."
Pick Locks,Subterfuge / Precision,"Tension wrench mechanics, tumbler manipulation, bypassing cylinder locks."
Sneak,Subterfuge / Stealth,"Acoustic discipline, shadow blending, and patrol avoidance."
Deceive,Social / Guile,"Vocal confidence, delivering fabricated alibis, misdirection."
Read Intentions,Social / Perception,"Spotting micro-expressions, detecting deceit, anticipating reactions."
Navigate Bureaucracy,Social / Protocol,"Citing regulations, exploiting red tape, inspecting documentation."
Parley Guards,Social / Authority,"Enforcer psychology, de-escalating beat cops, military protocol."
Parley Underground,Social / Streetwise,"Black-market cant, contraband marks, dealing with hidden exiles."
Fix Arcane Circuits,Arcane / Technical,Re-soldering yellow-metal runic traces and grounding magical runoff.
Detect Arcane Energy,Arcane / Perception,"Sensing inversion frequencies, reality-leak static, and divine resonance."
Hack Circuits,Arcane / Technical,"Overclocking relays, shunting energy pathways, bypassing runic wards."
Recall Artifact Lore,Arcane / Scholarly,"Pre-inversion precursor symbols, ancient mechanism languages, relic history."
